銘柄コード,銘柄名,市場名,日経225採用銘柄
2340,(株)極楽湯ホールディングス,東証JQS,
2341,(株)アルバイトタイムス,東証JQS,
2342,(株)トランスジェニック,マザーズ,
2344,平安レイサービス(株),東証JQS,
2345,アイスタディ(株),東証2部,
2349,(株)エヌアイデイ,東証JQS,
2351,(株)ＡＳＪ,マザーズ,
2352,(株)エイジア,東証2部,
2353,日本駐車場開発(株),東証1部,
2354,安川情報システム(株),東証2部,
2359,(株)コア,東証1部,
2362,(株)夢真ホールディングス,東証JQS,
2370,(株)メディネット,マザーズ,
2371,(株)カカクコム,東証1部,
2372,(株)アイロムグループ,東証1部,
2373,(株)ケア２１,東証JQS,
2374,セントケア・ホールディング(株),東証1部,
2375,スリープログループ(株),東証2部,
2376,(株)サイネックス,東証1部,
2378,(株)ルネサンス,東証1部,
2379,ディップ(株),東証1部,
2384,ＳＢＳホールディングス(株),東証1部,
2385,(株)総医研ホールディングス,マザーズ,
2388,(株)ウェッジホールディングス,東証JQG,
2389,(株)オプトホールディング,東証1部,
2391,(株)プラネット,東証JQS,
2393,(株)日本ケアサプライ,東証2部,
2395,(株)新日本科学,東証1部,
2397,(株)ＤＮＡチップ研究所,東証2部,
2398,(株)ツクイ,東証1部,
2402,(株)アマナ,マザーズ,
2404,(株)鉄人化計画,東証2部,
2405,(株)フジコー,東証2部,
2406,(株)アルテ　サロン　ホールディングス,東証JQS,
2408,(株)ＫＧ情報,東証JQS,
2410,(株)キャリアデザインセンター,東証1部,
2411,ゲンダイエージェンシー(株),東証JQS,
2412,(株)ベネフィット・ワン,東証2部,
2413,エムスリー(株),東証1部,
2415,ヒューマンホールディングス(株),東証JQS,
2417,(株)ツヴァイ,東証2部,
2418,(株)ツカダ・グローバルホールディング,東証1部,
2424,(株)ブラス,東証1部,
2425,(株)ケアサービス,東証JQG,
2427,(株)アウトソーシング,東証1部,
2428,ウェルネット(株),東証1部,
2429,(株)ワールドホールディングス,東証1部,
2432,(株)ディー・エヌ・エー,東証1部,1
2433,(株)博報堂ＤＹホールディングス,東証1部,
2435,(株)シダー,東証JQS,
2436,共同ピーアール(株),東証JQS,
2437,シンワアートオークション(株),東証JQS,
2438,(株)アスカネット,マザーズ,
2440,(株)ぐるなび,東証1部,
2445,エスアールジータカミヤ(株),東証1部,
2449,(株)プラップジャパン,東証JQS,
2453,ジャパンベストレスキューシステム(株),東証1部,
2454,(株)オールアバウト,東証JQS,
2458,(株)夢テクノロジー,東証JQS,
2459,アウンコンサルティング(株),東証2部,
2461,(株)ファンコミュニケーションズ,東証1部,
2462,ライク(株),東証1部,
2464,(株)ビジネス・ブレークスルー,東証1部,
2467,(株)バルクホールディングス,名古屋セ,
2468,(株)フュートレック,東証2部,
2469,ヒビノ(株),東証JQS,
2471,(株)エスプール,東証JQS,
2475,ＷＤＢホールディングス(株),東証1部,
2477,比較．ｃｏｍ(株),マザーズ,
2479,(株)ジェイテック,東証JQG,
2480,システム・ロケーション(株),東証JQS,
2481,(株)タウンニュース社,東証JQS,
2483,(株)翻訳センター,東証JQS,
2484,夢の街創造委員会(株),東証JQS,
2485,(株)ティア,東証1部,
2487,(株)ＣＤＧ,東証1部,
2488,日本サード・パーティ(株),東証JQS,
2489,(株)アドウェイズ,マザーズ,
2491,バリューコマース(株),東証1部,
2492,(株)インフォマート,東証1部,
2493,イーサポートリンク(株),東証JQS,
2497,ユナイテッド(株),マザーズ,
2498,(株)ＡＣＫグループ,東証JQS,
2499,日本和装ホールディングス(株),東証2部,
2501,サッポロホールディングス(株),東証1部,1
2502,アサヒグループホールディングス(株),東証1部,1
2503,キリンホールディングス(株),東証1部,1
